Carrier,Year,Month,Number of Wheelchairs and Scooters Enplaned,Number of Wheelchairs and Scooters Mishandled,Percent of wheelchairs and Scooters Mishandled
ALLEGIANT AIR,2019,11,1271,3,0.24
EXPRESSJET AIRLINES,2019,11,401,3,0.75
ENDEAVOR AIR,2019,11,1196,10,0.84
DELTA AIR LINES,2019,11,12228,109,0.89
SKYWEST AIRLINES,2019,11,3177,32,1.01
JETBLUE AIRWAYS,2019,11,3141,35,1.11
ALASKA AIRLINES,2019,11,2163,30,1.39
MESA AIRLINES,2019,11,789,11,1.39
SOUTHWEST AIRLINES,2019,11,14706,217,1.48
REPUBLIC AIRWAYS,2019,11,1026,16,1.56
FRONTIER AIRLINES,2019,11,2182,37,1.7
HAWAIIAN AIRLINES,2019,11,683,12,1.76
AMERICAN AIRLINES,2019,11,8302,154,1.85
UNITED AIRLINES,2019,11,6024,118,1.96
SPIRIT AIRLINES,2019,11,2342,46,1.96
ENVOY AIR,2019,11,789,18,2.28
PSA AIRLINES,2019,11,619,19,3.07
ALLEGIANT AIR,2019,12,1524,4,0.26
EXPRESSJET AIRLINES,2019,12,444,3,0.68
ENDEAVOR AIR,2019,12,1576,11,0.7
SKYWEST AIRLINES,2019,12,3559,37,1.04
DELTA AIR LINES,2019,12,12965,136,1.05
HAWAIIAN AIRLINES,2019,12,602,8,1.33
ENVOY AIR,2019,12,767,11,1.43
SPIRIT AIRLINES,2019,12,2208,32,1.45
ALASKA AIRLINES,2019,12,2101,32,1.52
REPUBLIC AIRWAYS,2019,12,1245,19,1.53
JETBLUE AIRWAYS,2019,12,3148,51,1.62
UNITED AIRLINES,2019,12,6797,112,1.65
FRONTIER AIRLINES,2019,12,2299,41,1.78
SOUTHWEST AIRLINES,2019,12,13827,263,1.9
AMERICAN AIRLINES,2019,12,9033,174,1.93
MESA AIRLINES,2019,12,868,17,1.96
PSA AIRLINES,2019,12,772,28,3.63
ALLEGIANT AIR,2020,1,1326,4,0.3
REPUBLIC AIRWAYS,2020,1,933,7,0.75
ENDEAVOR AIR,2020,1,961,8,0.83
DELTA AIR LINES,2020,1,10402,89,0.86
EXPRESSJET AIRLINES,2020,1,338,3,0.89
HAWAIIAN AIRLINES,2020,1,485,5,1.03
JETBLUE AIRWAYS,2020,1,2863,31,1.08
ALASKA AIRLINES,2020,1,1814,20,1.1
MESA AIRLINES,2020,1,745,9,1.21
SKYWEST AIRLINES,2020,1,2691,38,1.41
AMERICAN AIRLINES,2020,1,7384,126,1.71
UNITED AIRLINES,2020,1,5329,91,1.71
FRONTIER AIRLINES,2020,1,2318,40,1.73
SOUTHWEST AIRLINES,2020,1,10119,194,1.92
PSA AIRLINES,2020,1,572,13,2.27
SPIRIT AIRLINES,2020,1,1525,43,2.82
ENVOY AIR,2020,1,638,20,3.13
ALLEGIANT AIR,2020,2,1247,2,0.16
ENDEAVOR AIR,2020,2,1137,5,0.44
DELTA AIR LINES,2020,2,10513,77,0.73
JETBLUE AIRWAYS,2020,2,2473,24,0.97
SKYWEST AIRLINES,2020,2,2892,32,1.11
UNITED AIRLINES,2020,2,4848,64,1.32
ENVOY AIR,2020,2,518,8,1.54
SOUTHWEST AIRLINES,2020,2,9932,155,1.56
ALASKA AIRLINES,2020,2,1762,28,1.59
HAWAIIAN AIRLINES,2020,2,429,7,1.63
AMERICAN AIRLINES,2020,2,7088,125,1.76
FRONTIER AIRLINES,2020,2,2152,38,1.77
EXPRESSJET AIRLINES,2020,2,385,7,1.82
REPUBLIC AIRWAYS,2020,2,864,16,1.85
MESA AIRLINES,2020,2,720,14,1.94
PSA AIRLINES,2020,2,548,11,2.01
SPIRIT AIRLINES,2020,2,1456,42,2.88
ENDEAVOR AIR,2020,3,981,2,0.2
ALLEGIANT AIR,2020,3,834,3,0.36
EXPRESSJET AIRLINES,2020,3,275,1,0.36
PSA AIRLINES,2020,3,344,2,0.58
DELTA AIR LINES,2020,3,7687,52,0.68
REPUBLIC AIRWAYS,2020,3,571,5,0.88
UNITED AIRLINES,2020,3,3156,39,1.24
JETBLUE AIRWAYS,2020,3,1357,18,1.33
SOUTHWEST AIRLINES,2020,3,5647,75,1.33
ENVOY AIR,2020,3,447,6,1.34
ALASKA AIRLINES,2020,3,950,14,1.47
FRONTIER AIRLINES,2020,3,1540,23,1.49
SKYWEST AIRLINES,2020,3,2077,35,1.69
AMERICAN AIRLINES,2020,3,4213,80,1.9
SPIRIT AIRLINES,2020,3,926,23,2.48
HAWAIIAN AIRLINES,2020,3,308,8,2.6
MESA AIRLINES,2020,3,510,14,2.75
FRONTIER AIRLINES,2020,4,221,0,0.0
JETBLUE AIRWAYS,2020,4,127,0,0.0
ALLEGIANT AIR,2020,4,50,0,0.0
REPUBLIC AIRWAYS,2020,4,34,0,0.0
ENDEAVOR AIR,2020,4,30,0,0.0
HAWAIIAN AIRLINES,2020,4,29,0,0.0
EXPRESSJET AIRLINES,2020,4,14,0,0.0
SKYWEST AIRLINES,2020,4,218,1,0.46
DELTA AIR LINES,2020,4,662,5,0.76
UNITED AIRLINES,2020,4,218,2,0.92
SOUTHWEST AIRLINES,2020,4,464,5,1.08
ENVOY AIR,2020,4,60,1,1.67
MESA AIRLINES,2020,4,56,1,1.79
PSA AIRLINES,2020,4,42,1,2.38
AMERICAN AIRLINES,2020,4,489,12,2.45
ALASKA AIRLINES,2020,4,87,3,3.45
SPIRIT AIRLINES,2020,4,54,2,3.7
SPIRIT AIRLINES,2020,5,71,0,0.0
HAWAIIAN AIRLINES,2020,5,56,0,0.0
DELTA AIR LINES,2020,5,1162,2,0.17
ALLEGIANT AIR,2020,5,460,1,0.22
SKYWEST AIRLINES,2020,5,447,1,0.22
FRONTIER AIRLINES,2020,5,197,1,0.51
ENDEAVOR AIR,2020,5,147,1,0.68
UNITED AIRLINES,2020,5,371,4,1.08
MESA AIRLINES,2020,5,184,2,1.09
SOUTHWEST AIRLINES,2020,5,1372,15,1.09
REPUBLIC AIRWAYS,2020,5,90,1,1.11
JETBLUE AIRWAYS,2020,5,146,2,1.37
AMERICAN AIRLINES,2020,5,1179,17,1.44
ALASKA AIRLINES,2020,5,158,3,1.9
PSA AIRLINES,2020,5,182,4,2.2
ENVOY AIR,2020,5,158,4,2.53
EXPRESSJET AIRLINES,2020,5,35,1,2.86
ENDEAVOR AIR,2020,6,268,0,0.0
JETBLUE AIRWAYS,2020,6,435,1,0.23
ALLEGIANT AIR,2020,6,650,2,0.31
REPUBLIC AIRWAYS,2020,6,248,1,0.4
FRONTIER AIRLINES,2020,6,415,2,0.48
DELTA AIR LINES,2020,6,1836,10,0.54
SKYWEST AIRLINES,2020,6,767,5,0.65
UNITED AIRLINES,2020,6,594,7,1.18
SOUTHWEST AIRLINES,2020,6,2932,38,1.3
PSA AIRLINES,2020,6,264,4,1.52
EXPRESSJET AIRLINES,2020,6,66,1,1.52
ALASKA AIRLINES,2020,6,321,5,1.56
ENVOY AIR,2020,6,316,5,1.58
AMERICAN AIRLINES,2020,6,1967,37,1.88
MESA AIRLINES,2020,6,202,4,1.98
HAWAIIAN AIRLINES,2020,6,87,2,2.3
SPIRIT AIRLINES,2020,6,254,7,2.76
HAWAIIAN AIRLINES,2020,7,139,0,0.0
EXPRESSJET AIRLINES,2020,7,68,0,0.0
ENDEAVOR AIR,2020,7,1017,3,0.29
ALLEGIANT AIR,2020,7,587,2,0.34
DELTA AIR LINES,2020,7,2575,11,0.43
SKYWEST AIRLINES,2020,7,1167,8,0.69
FRONTIER AIRLINES,2020,7,552,5,0.91
SOUTHWEST AIRLINES,2020,7,2927,31,1.06
PSA AIRLINES,2020,7,365,4,1.1
MESA AIRLINES,2020,7,255,3,1.18
JETBLUE AIRWAYS,2020,7,565,7,1.24
REPUBLIC AIRWAYS,2020,7,363,5,1.38
ALASKA AIRLINES,2020,7,426,7,1.64
ENVOY AIR,2020,7,410,7,1.71
UNITED AIRLINES,2020,7,1033,18,1.74
AMERICAN AIRLINES,2020,7,2767,54,1.95
SPIRIT AIRLINES,2020,7,645,23,3.57
HAWAIIAN AIRLINES,2020,8,65,0,0.0
DELTA AIR LINES,2020,8,3086,9,0.29
ENDEAVOR AIR,2020,8,865,5,0.58
REPUBLIC AIRWAYS,2020,8,340,3,0.88
ENVOY AIR,2020,8,354,4,1.13
UNITED AIRLINES,2020,8,1403,17,1.21
MESA AIRLINES,2020,8,247,3,1.21
ALLEGIANT AIR,2020,8,162,2,1.23
SPIRIT AIRLINES,2020,8,479,6,1.25
SOUTHWEST AIRLINES,2020,8,2978,44,1.48
JETBLUE AIRWAYS,2020,8,497,8,1.61
ALASKA AIRLINES,2020,8,432,7,1.62
AMERICAN AIRLINES,2020,8,2569,47,1.83
PSA AIRLINES,2020,8,381,8,2.1
FRONTIER AIRLINES,2020,8,620,14,2.26
EXPRESSJET AIRLINES,2020,8,63,2,3.17
SKYWEST AIRLINES,2020,8,826,38,4.6
MESA AIRLINES,2020,9,459,1,0.22
ALLEGIANT AIR,2020,9,164,1,0.61
ENDEAVOR AIR,2020,9,649,4,0.62
SKYWEST AIRLINES,2020,9,1671,12,0.72
DELTA AIR LINES,2020,9,3547,27,0.76
ALASKA AIRLINES,2020,9,442,5,1.13
UNITED AIRLINES,2020,9,1683,21,1.25
SOUTHWEST AIRLINES,2020,9,3373,45,1.33
EXPRESSJET AIRLINES,2020,9,73,1,1.37
FRONTIER AIRLINES,2020,9,772,11,1.42
AMERICAN AIRLINES,2020,9,3189,47,1.47
ENVOY AIR,2020,9,396,7,1.77
JETBLUE AIRWAYS,2020,9,509,11,2.16
PSA AIRLINES,2020,9,381,9,2.36
REPUBLIC AIRWAYS,2020,9,455,11,2.42
HAWAIIAN AIRLINES,2020,9,62,2,3.23
SPIRIT AIRLINES,2020,9,299,18,6.02
DELTA AIR LINES,2020,10,3949,18,0.46
ENDEAVOR AIR,2020,10,692,4,0.58
HAWAIIAN AIRLINES,2020,10,171,1,0.58
SKYWEST AIRLINES,2020,10,1789,13,0.73
FRONTIER AIRLINES,2020,10,902,7,0.78
ALLEGIANT AIR,2020,10,244,2,0.82
REPUBLIC AIRWAYS,2020,10,628,8,1.27
UNITED AIRLINES,2020,10,2427,32,1.32
PSA AIRLINES,2020,10,452,6,1.33
SOUTHWEST AIRLINES,2020,10,3893,58,1.49
AMERICAN AIRLINES,2020,10,3631,64,1.76
ALASKA AIRLINES,2020,10,634,13,2.05
ENVOY AIR,2020,10,484,10,2.07
MESA AIRLINES,2020,10,460,11,2.39
JETBLUE AIRWAYS,2020,10,706,21,2.97
SPIRIT AIRLINES,2020,10,330,12,3.64
ENDEAVOR AIR,2020,11,807,3,0.37
ALLEGIANT AIR,2020,11,216,1,0.46
MESA AIRLINES,2020,11,409,2,0.49
REPUBLIC AIRWAYS,2020,11,599,3,0.5
DELTA AIR LINES,2020,11,3496,22,0.63
SKYWEST AIRLINES,2020,11,1521,10,0.66
ENVOY AIR,2020,11,381,5,1.31
UNITED AIRLINES,2020,11,2285,30,1.31
ALASKA AIRLINES,2020,11,479,7,1.46
SOUTHWEST AIRLINES,2020,11,3736,57,1.53
AMERICAN AIRLINES,2020,11,2971,46,1.55
PSA AIRLINES,2020,11,376,6,1.6
HAWAIIAN AIRLINES,2020,11,230,4,1.74
FRONTIER AIRLINES,2020,11,769,15,1.95
JETBLUE AIRWAYS,2020,11,686,14,2.04
SPIRIT AIRLINES,2020,11,467,10,2.14
PSA AIRLINES,2020,12,416,1,0.24
REPUBLIC AIRWAYS,2020,12,640,3,0.47
ALLEGIANT AIR,2020,12,195,1,0.51
ENVOY AIR,2020,12,360,2,0.56
ENDEAVOR AIR,2020,12,971,6,0.62
SKYWEST AIRLINES,2020,12,1521,10,0.66
DELTA AIR LINES,2020,12,3064,21,0.69
MESA AIRLINES,2020,12,409,3,0.73
UNITED AIRLINES,2020,12,2337,21,0.9
FRONTIER AIRLINES,2020,12,844,11,1.3
AMERICAN AIRLINES,2020,12,2641,37,1.4
ALASKA AIRLINES,2020,12,485,7,1.44
SOUTHWEST AIRLINES,2020,12,3501,53,1.51
HAWAIIAN AIRLINES,2020,12,178,3,1.69
JETBLUE AIRWAYS,2020,12,730,17,2.33
SPIRIT AIRLINES,2020,12,378,18,4.76
